Data;Último;Abertura;Máxima;Mínima;Vol.;Var%
25.11.2020;110132.53;109786.37;110595.81;109315.21;8,56M;0.0032
24.11.2020;109786.3;107377.95;109956.18;107360.58;11,93M;0.0224
23.11.2020;107378.92;106050.48;107495.35;106050.48;9,69M;0.0126
20.11.2020;106042.48;106669.9;106763.96;105680.28;7,10M;-0.0059
19.11.2020;106669.9;106117.26;106972.88;105545.37;8,56M;0.0052
18.11.2020;106119.09;107245.54;107467.25;106043.35;10,34M;-0.0105
17.11.2020;107248.63;106430.04;107810.31;105846.62;10,31M;0.0077
16.11.2020;106429.92;104728.51;106518.16;104728.51;11,72M;0.0163
13.11.2020;104723.0;102508.77;104725.79;102508.77;9,77M;0.0216
12.11.2020;102507.01;104810.06;105018.66;102033.75;10,86M;-0.022
11.11.2020;104808.83;105066.96;105462.33;104143.47;10,84M;-0.0025
10.11.2020;105066.96;103516.37;105758.29;103452.64;16,67M;0.015
09.11.2020;103515.16;100953.95;105146.56;100953.95;17,41M;0.0257
06.11.2020;100925.11;100750.59;101104.29;99837.04;8,38M;0.0017
05.11.2020;100751.4;97872.82;100921.63;97872.27;10,46M;0.0295
04.11.2020;97866.81;95991.57;98296.35;95987.42;10,70M;0.0197
03.11.2020;95979.71;93967.64;96350.23;93967.64;10,19M;0.0216
30.10.2020;93952.4;96578.75;96578.75;93559.19;10,64M;-0.0272
29.10.2020;96582.16;95368.43;96688.25;93386.55;12,70M;0.0127
28.10.2020;95368.76;99597.75;99597.75;95368.76;11,05M;-0.0425
27.10.2020;99605.54;101017.38;101660.37;99413.93;8,67M;-0.014
26.10.2020;101016.96;101259.86;101783.79;99761.84;8,07M;-0.0024
23.10.2020;101259.75;101917.73;102217.62;101188.38;7,56M;-0.0065
22.10.2020;101917.73;100552.99;102020.44;100456.83;9,56M;0.0136
21.10.2020;100552.44;100541.25;101585.92;100148.97;8,66M;0.0001
20.10.2020;100539.83;98663.89;100721.83;98663.89;8,80M;0.0191
19.10.2020;98657.65;98310.35;99917.22;98309.8;9,93M;0.0035
16.10.2020;98309.12;99054.06;99171.96;98309.12;7,84M;-0.0075
15.10.2020;99054.06;99328.02;99485.5;97778.26;8,34M;-0.0028
14.10.2020;99334.43;98501.58;99570.8;98501.44;8,90M;0.0084
13.10.2020;98502.82;97483.49;98998.47;97336.3;7,87M;0.0105
09.10.2020;97483.31;97924.18;98641.91;97161.37;10,81M;-0.0045
08.10.2020;97919.73;95529.57;97937.72;95529.57;11,16M;0.0251
07.10.2020;95526.26;95615.82;96379.57;94880.65;9,83M;-0.0009
06.10.2020;95615.03;96091.15;97404.54;95211.05;11,30M;-0.0049
05.10.2020;96089.19;94019.37;96414.17;93984.23;8,62M;0.0221
02.10.2020;94015.68;95474.63;95995.7;93896.61;8,58M;-0.0153
01.10.2020;95478.52;94604.15;95486.33;93599.05;9,24M;0.0093
