,tweet,Sentimento,data,usuario,nome,reply_user_id,reply_to_screen_name,n_retweets
0,"@JosRibe53106994 @kaiury @OCriador @GuilhermeBoulos Qualquer um é melhor que esse presidente!
Os dados do banco central mostram isso!",2,2020-11-15 10:46:37,51136430,ingriddeftones,1.224408917356286e+18,JosRibe53106994,0
1,No jogo decisivo deixa o jogador em melhor forma no banco e opta por um central que já nem nos convocados teria lugar. https://t.co/v7FftGHhmx,1,2020-11-17 23:33:07,21214421,JSnotario,,,0
2,"@gleisi Gleise, explique o bolsa banqueiro e autonomia do banco central ser pauta de um partido que se diz de esquerda?",0,2020-11-18 22:37:57,546283882,gleyson_MB,31139434.0,gleisi,0
3,A independência do Banco Central vai jogar o Brasil pro limbo de uma forma tão absurda que não da pra acreditar que não tem um filho da puta nos defendendo no congresso,0,2020-11-18 03:49:19,94392014,beusgor,,,0
4,"A bolsa de valores do Brasil fechou nesta segunda-feira, com níveis pré-pandêmicos, e o dólar se aproximou de cinco reais e 40 centavos. 
https://t.co/6me1C7I9gH",2,2020-11-17 20:30:07,39758411,radiocidadetb,,,0
5,Banco Central anuncia liberação de pagamentos pelo whatsapp e conversas com o Google https://t.co/vNHN8P9a7x,1,2020-11-16 18:20:26,792544164,jb1969cinema,,,0
6,"@bollemdb Esse mau aprendiz de ministro parece que está na bolsa de valores.

Suas enlouquecidas especulações.",1,2020-11-19 11:48:45,1267314324315521024,SergioVirgolino,539421221.0,bollemdb,0
7,"@thsouzareis Thales! As definições de rentista precisam ser atualizadas 👀
Comece a investir com a Rico e tenha rentabilidade de verdade! Estamos aqui para te ajudar como precisar 🧡",2,2020-11-19 16:12:35,16721824,ricocomvc,1.26290418871715e+18,thsouzareis,0
8,"@AtallahJosef falaram sobre isso la na live do @marcioportes  ontem, q apos o vencimento das opçoes de ibov hj....azedava",0,2020-11-18 21:43:12,127352450,Cacomaia,1.056270221760172e+18,AtallahJosef,0
9,"@UOL Corrupção é agora com a aprovação da  PL 3877/2020 cria a figura do “depósitos voluntários remunerado” pelo Banco Central aos bancos, “legalizando” a remuneração da sobra de caixa dos bancos, que tem sido feita mediante o abuso na utilização das chamadas“operações compromissadas”",0,2020-11-18 03:16:10,153264332,eusouaquelequee,70799317.0,UOL,0
10,"@cafecomferri Vinha.... foi o que eu falei abaixo. O BC não quer deixar o dólar cair, há um interesse em mantê-lo neste patamar porque uma queda dele significa que o Tesouro terá de se endividar para cobrir a perda contábil do Banco Central. Só que tem uma coisinha: dólar maior: fumo pra nós.",0,2020-11-18 20:11:27,1323721770050952960,stottlemayer79,437824506.0,cafecomferri,0
11,"@_RenanRios_ @paulofzbct ah mano, se ta dando rentabilidade já ta otimo, só administrar isso! Só não pode devolver tudo o que ja ganhou. Eu acho que tem bastante espaço pra crescer sim",2,2020-11-16 21:40:57,1717271563,gustavogalioti,185765899.0,_RenanRios_,0
12,"DOMINANCIA FISCAL

1)Selic a 2% e desconfiança  geral geram o medo
2)o Banco Central entra em parafuso: se subir a Selic para conter a inflação,afeta o Tesouro ;se não fizer nada,volta a inflação 
3)o pior dos mundos:volta da inflação força mais ajuste fiscal e diminui o consumo",0,2020-11-18 14:05:02,1232779599593038080,jmoreir62593935,,,0
13,"Como montar um carteira vencedora ? 

Imagine você com 100mil para gastar a vontade. Em quais locais você iria ? 

Pensou ? Então agora pesquise essas empresas na bolsa de valores. 

Você vai comprar empresas que você consumiria, lógica básica para investir.
#investimentos",2,2020-11-19 09:16:18,1314056177790193920,EducationSixx,,,0
14,"🌇FII | https://t.co/KIzvGL0Coj
Buildings e Funds Explorer lançam plataforma para investidores de FIIs pessoa física
| | fundosimobiliarios fiis

  O número de pessoas físicas na bolsa de valores passou pela primeira vez a marca de 3 milhões. Segundo dados da B3 divulgados n…",2,2020-11-20 19:07:30,1124182565592752000,MeusFii,,,0
15,"#JPC, @mineiro_edson, @sf2invest, @VPCRelator, @JasonVieira, @JamesGBrasil, @datonetto e @thomazsarquis, indiquem um esporte radical ao Roberto Campos Neto. Cada um dá sua sugestão. O homem tá a fim de adrenalina.

A fonte de emoção dele só não pode ser o Banco Central.",1,2020-11-17 14:58:29,164743919,rennercardoso_,,,0
16,"As decisões do Comitê de Políticas Monetárias, o Copom, passam pelo Boletim Focus, uma publicação do mercado financeiro na qual ele define a taxa de juros. Autonomia do Banco Central é colocar a raposa pra cuidar do galinheiro.",0,2020-11-19 19:21:40,81088939,enioverri,81088939.0,enioverri,0
17,"É verdade que o @santander_br e o @BancodoBrasil se lixaram pro Pix. O Banco Central, não vai fazer NADA? @BancoCentralBR",0,2020-11-16 13:28:28,30210596,Fagundesjc,,,0
18,Banco Central confirma que WhatsApp entrará em pagamentos no Brasil - RENOVA Mídia https://t.co/SAot4uY90L via @renovamidia,1,2020-11-17 11:50:09,1268403592106476032,geraldo385,,,1
19,"Listinha de coisas que a ""maior fac de arma"" vai ficar sem por causa da treta com os ""galinha"":
-munição 
-colete 
-capuz 
-lockpick 
-kit Banco paleto e Central 
-algema 
-erva
-c4
-farinha 
-Kaycard 
e  sem aliados tbm,porque mc já vende pra todas as fac's",1,2020-11-16 17:02:46,1211994504154107904,KarolEduarda019,,,6
20,"Será!? 👀

#ibov https://t.co/ukHag1GmiP",1,2020-11-17 09:01:19,1288244659706368000,bolsaparaleigos,,,0
21,"Melhor planilha de controle de rentabilidade mensal! 👇

https://t.co/GrAz73UpzY",2,2020-11-19 21:01:27,1025779717897641984,foconomilhao,,,0
22,Banco Central aposta no PIX para estimular recuperação da economia - https://t.co/BGo5sVsJb5 https://t.co/KA5mJEknT4,1,2020-11-16 16:39:33,3523906335,pontoBA,,,0
23,Bolsa de Valores AO VIVO - 19 de Novembro de 2020 https://t.co/FWSM7aAeQ2 via @YouTube,1,2020-11-19 15:16:27,967799958853308416,AteoUltimoGain,,,0
24,"@ricocomvc Sr Incrível como investimentos internacionais, bem fortes;
Mulher Elástico como multimercados, alcançando tudo;
Flecha como fundos de ação, variando rápido;
Violeta como reserva de emergência, a rentabilidade sumiu, mas sei que posso confiar;
Zezé como ações, super volátil hahaha https://t.co/2ccgzV2I49",2,2020-11-18 19:07:22,58553929,Boliinho,16721824.0,ricocomvc,0
25,O tempo em Campinas tá mais fechado do que o cofre do Banco Central.,0,2020-11-18 19:27:14,582266838,llpaula1991,,,0
26,@nclhdd @lunapqsim1 Renda variável são os Reais que você tenta acumular e perderam 90% de poder de compra desde sua criação. Boa sorte!,0,2020-11-18 00:47:51,2886307433,misescapital,1.080953591681241e+18,nclhdd,0
27,@suziproibida @nubank é o novo sistema de pagamentos/transferências do banco central. Ele funciona 24/7 e é de graça pra pessoa física! Veio pra substituir Ted e Doc,1,2020-11-18 16:24:45,1258193982519226112,edrepc,364388406.0,suziproibida,0
28,"Venda de reservas para reduzir dívida está no radar, mas decisão depende do Banco Central, diz secretário https://t.co/xSxY0pCaoW",1,2020-11-20 21:06:03,1523748277,conexaopolitica,,,29
29,"Investimentos de renda variável estão em alta no Brasil:   Ao longo dos últimos meses, os brasileiros estão aprendendo a viver com um cenário econômico praticamente inédito. Com as taxas de juros nas mínimas históricas, os tradicionais… https://t.co/cMYSm4KKbn No site da Folha",2,2020-11-20 22:45:32,156639822,folhadoslagos,,,0
30,"""Estado não está empenhado em criar mais empresas, é pôr as empresas que existem a funcionar mas todos nós, Governo, Banco Central e bancos comerciais tem que apoiar o sector o privado porque é esse que tem de fazer a diferença” ministro Maleiane https://t.co/7cz6psn9Yr https://t.co/HfcShVavft",1,2020-11-15 08:00:00,44638016,verdademz,,,0
31,"Sonho
Gov. do Brasil:
Imperadores: Bolsonaro e Temer
Futuro casamento real: MiTemer e Laurinha
Forma de governo: Monarquia
Conselheiro do imperador: Tokiyo
Chanceler: Carlos Bolsonaro
Comandante do Banco central: Flávio Bolsonaro
Gabinete de segurança institucional: Adolf Hitler",2,2020-11-15 14:06:15,1325066902906016000,based_viriato,,,1
32,"@EurobeatDrift Porque se não eu consigo 500 conto no btc aqui e me converto, saco até acabar as nota, quebro o banco central, e todo mundo ganha empréstimo sem juros",2,2020-11-17 20:51:21,1262705901246583040,IzakiNiutun,1.262705901246583e+18,IzakiNiutun,0
33,"IBOVESPA CONTRARIA EXTERIOR NEGATIVO E SOBE 0,3%; DÓLAR RECUA, A R$ 5,31.
https://t.co/1oWWTg93Af
#spacemoney #spacenow #IBOV #dolfut",2,2020-11-19 15:18:25,1108804470237027968,br_spacemoney,,,0
34,me chama de bolsa de valores e investe em mim bebê rs,2,2020-11-18 15:03:10,1044972726887304960,__keylle,,,3
35,"Você pode comprar ações na Bolsa de Valores, através de uma Corretora. 

Os lucros que as empresas distribuem a seus acionistas são conhecidos como DIVIDENDOS, mas existem outras formas de remuneração.

A distribuição de dividendos varia de empresa pra empresa.",1,2020-11-21 18:38:50,1264622537805369088,ematheuscampos,1.264622537805369e+18,ematheuscampos,0
36,"Acionistas da Linx aprovam venda para Stone em Assembleia Geral Extraordinária, diz fonte
https://t.co/lVtV8xt7Uh",1,2020-11-17 22:02:45,1113533606247436032,valorinveste,,,0
37,@Mordecaio_ fiz uma transferencia aqui agora e caiu instantâneo eu estou chorando banco central entre em minha casa e coma o pix de toda minha família,2,2020-11-16 00:40:05,269559180,fuckyoubanana,2354572481.0,Mordecaio_,0
38,"desde o dia que meu pai me ensinou o básico da bolsa de valores, minha coisa preferida de fazer é ver como tão indo as ações no fim do dia",2,2020-11-19 01:33:56,1109109060106968960,gabi_scholze,,,0
