data;usuario;nome;tweet;reply_user_id;reply_to_screen_name;n_retweets
2020-11-15 23:57:49;1183515877175640070;BiAnta7;"*Layal me mostrando uma nota escrito ""banco central da Venezuela"" *

E ela: eu DUVIDO q acerte da onde é essa dinheiro 😜😜😜😜😜😜";;;0
2020-11-15 23:57:31;1283059538254606337;AkeemKing15;@bullishmaruzobu É, o Ibov não precisa de muito pra cair né;1153643738511683584;bullishmaruzobu;0
2020-11-15 23:56:22;1057387025882595329;hallisonmendez;É IBOV nos 150k e que se foda o resto;;;0
2020-11-15 23:55:46;1268188766847537154;stabilises;não sei pq vocês se dão ao trabalho de chamar pro player x e y de racista, todos eles vão fazer o mesmo discurso que mudou enquanto cria uma smurfzinha pra falar as mesmas merdas, parem de se ocupar com maluco e seila vão investir na bolsa de valores https://t.co/KgKrEOl6Ia;;;1
2020-11-15 23:55:20;741484765916856320;FabioHermano;@diegsf @pablomoreno @RenanWilbert @marakarina Independência do Banco Central tava no programa do Haddad em 18.;46222931;diegsf;0
2020-11-15 23:52:28;1293261161857785858;trader_banks;"“Nunca gostamos de investir em uma ação baseados em sua popularidade. Na verdade, boa parte de nossa rentabilidade até hoje veio de posições em companhias com ótimos fundamentos mas que, por não estarem passando por bons momentos, estavam esquecidas...""

Carta 11 - Dynamo";;;0
2020-11-15 23:52:21;216080862;Umestranhojohan;"Bolsa de valores não é loteria
Bolsa de valores não é loteria
Bolsa de valores não é loteria";;;0
2020-11-15 23:51:49;1184639197912731649;isabelablima;"O que Las Vegas e a bolsa de valores têm em comum?
Confira aqui! https://t.co/znkdhNXcea";;;0
2020-11-15 23:50:34;1189678200;alertario24hrs;Klabin anuncia participação em Índice de Sustentabilidade Dow Jones | Empresas | Valor Investe https://t.co/wARfwWv7iW;;;0
2020-11-15 23:42:00;1095439127208751104;scrawfps;@BREEZE_FPS @gonfps_ Breezin, me chama na dm viado, cheguei de viagem agora e to exausto, daí amanhã quando eu acordar já te falo sobre um curso bom e se quiser qualquer ajuda, sou ratinho da bolsa de valores.;3288878266;BREEZE_FPS;0
2020-11-15 23:33:18;1310921393895243776;maurasantosp;É triste ver uma população tão ignorante, por isso eu apoio tanto as escolas ensinarem sobre política, bolsa de valores e essas coisas. Mas é isso que eles querem, uma população leiga!;;;0
2020-11-15 23:26:05;365049140;_railanbarbosa;@tvemconquista Os Votos de Banco Central chegaram agora, chega primeiro em Vitória Conquista do que lá;1200082955223343104;tvemconquista;0
2020-11-15 23:25:00;274526582;poronguinhokill;"RT @mestresheike: Justin Trudeau, 1° ministro canadense, admite que a pandemia abriu portas para um reset financeiro.
Reset este que dará i…";;;5
2020-11-15 23:22:09;440491809;lohutt;@marcondos Precisar não vou mesmo. Resgato com 17,5 de ir. Mas eu fiquei com medo pq a rentabilidade tá até boa né;210667283;marcondos;0
2020-11-15 23:18:28;205962358;JoaoCampoGrande;@tifeitosacosta @rafinhabastos Adiantou sim. Enriqueceu no governo do PT e agora ja esta ate pensando em abrir o capital da sua empresa na BOLSA DE VALORES.;828419129069727745;tifeitosacosta;0
2020-11-15 23:18:11;1319428383445483521;Investidorzen1;@femisapien_z é um tanto estarrecedor como estão totalmente entregues a dualidade e suas paixões... não me parece o mindset ideal para operar em renda variável...;921671022;femisapien_z;0
2020-11-15 23:17:54;624016345;Vlamartinp;"RT @BlockTrendsBR: Amanhã o PIX, novo sistema de pagamentos instantâneos do Banco Central, será lançado oficialmente.

A dias do lançamento…";;;6
2020-11-15 23:17:04;1149057471450943493;WedersonCoutin2;"CURSO DAY TRADE - LIVE DE LANÇAMENTO !

Se vc quer aprender análise gráfica de verdade e operar na bolsa de valores e ter lucros diários, então não deixe de assistir a nossa live de lançamento do Curso De Day Trade!

INSCREVA-SE EM NOSSO CANAL DO YOUTUBE : https://t.co/7QBVaeL1Ii https://t.co/FnWEXTghO3";;;0
2020-11-15 23:15:19;792495762;tiago_fernie;RT @Cacomaia: #IBOV semanal, nos 105k colocamos o 94-95 como alvo, vai lá, e muitos não compram, pois pode cair mais, ai sobe para 105, e q…;;;2
2020-11-15 23:13:57;1673734069;cbitencourt14;"RT @BlockTrendsBR: Amanhã o PIX, novo sistema de pagamentos instantâneos do Banco Central, será lançado oficialmente.

A dias do lançamento…";;;6
2020-11-15 23:13:39;957682238078021633;de_werlang;"@viniciussexto O aplicativo e-Título travado...
O sistema do TSE travado...
Imaginem o que poderá ocorrer com o tal do PIX do banco central.";1155549613589487616;viniciussexto;0
2020-11-15 23:05:38;1262513074722033665;DiasSamael;@kellyloreba @flaviaol Delegada PM é novidade mas vindo do povo que acha que governos com banqueiros no Banco Central e no mistério da fazenda foram de esquerda e que alguém que conseguiu aumentar a violência policial no RJ é uma boa candidata progressista não é nenhima surpresa. https://t.co/1BSuM5uRvE;311256775;kellyloreba;0
2020-11-15 23:04:31;1293261161857785858;trader_banks;"O gráfico semanal do Ibov tá bonito hein.

Volume financeiro avassalador...";;;0
2020-11-15 23:02:53;94681526;julianocfs;"RT @BlockTrendsBR: Amanhã o PIX, novo sistema de pagamentos instantâneos do Banco Central, será lançado oficialmente.

A dias do lançamento…";;;6
2020-11-15 23:02:13;1004859441303482369;qrcapital;"RT @BlockTrendsBR: Amanhã o PIX, novo sistema de pagamentos instantâneos do Banco Central, será lançado oficialmente.

A dias do lançamento…";;;6
2020-11-15 23:00:00;1216816859758125056;BlockTrendsBR;"Amanhã o PIX, novo sistema de pagamentos instantâneos do Banco Central, será lançado oficialmente.

A dias do lançamento, o Presidente ainda não sabe ao certo como funcionará a plataforma. Explicamos o PIX de uma forma que até o Bolsonaro entenderia.

https://t.co/Nba7O7SiM6";;;6
2020-11-15 22:58:17;1299826724037955585;Tonisilvak7pira;@tmbcarvalho7 O passos salvou o país? Ele era presidente do banco central europeu?  já percebi mais um ignorante que no meio de uma crise financeira internacional acha que Portugal é culpado e gastou acima das suas possibilidades. Continua assim pá.;3077876010;tmbcarvalho7;0
2020-11-15 22:54:34;1293261161857785858;trader_banks;"Mesmo com o IFNC subindo quase 15% no mês, no acumulado do ano ele ainda está caindo mais de 18%. Não dá pra dizer que está esticado. 

Acho que deve continuar puxando o Ibov pra cima até o final do ano. A ver.

Se lá fora não azedar muito, aqui engata um rallyzinho bacana.";;;0
2020-11-15 22:51:46;1038950219566727168;OtaviioLima_;Recebi um convite pra participar de um projeto de gestão financeira e análises da bolsa de valores. Cada dia a desistência do curso de direito se torna mais próxima......;;;0
2020-11-15 22:46:24;1080926905161916421;samdoesntlikeu;era coração, meus amigos n tão cotados na bolsa de valores;1080926905161916421;samdoesntlikeu;0
2020-11-15 22:45:14;513490346;SabrinaBley;Em Rolante a Bolsa de Valores vai voltar a fazer sucesso 🤪;;;0
2020-11-15 22:45:12;2781389394;Capivaranab3;Klabin anuncia participação em Índice de Sustentabilidade Dow Jones | Empresas | Valor Investe https://t.co/eKoB97zKIB;;;0
2020-11-15 22:42:35;46222931;diegsf;@pablomoreno @RenanWilbert @marakarina Pessoal defende independência do Banco Central, via pra Paris, se alia com Aécio e quem destruiu foi o PT. Esse PT, te contar, viu?;14171364;pablomoreno;0
