tweet;Sentimento
"@JosRibe53106994 @kaiury @OCriador @GuilhermeBoulos Qualquer um é melhor que esse presidente!
Os dados do banco central mostram isso!";2
No jogo decisivo deixa o jogador em melhor forma no banco e opta por um central que já nem nos convocados teria lugar. https://t.co/v7FftGHhmx;1
@gleisi Gleise, explique o bolsa banqueiro e autonomia do banco central ser pauta de um partido que se diz de esquerda?;0
A independência do Banco Central vai jogar o Brasil pro limbo de uma forma tão absurda que não da pra acreditar que não tem um filho da puta nos defendendo no congresso;0
"A bolsa de valores do Brasil fechou nesta segunda-feira, com níveis pré-pandêmicos, e o dólar se aproximou de cinco reais e 40 centavos. 
https://t.co/6me1C7I9gH";2
Banco Central anuncia liberação de pagamentos pelo whatsapp e conversas com o Google https://t.co/vNHN8P9a7x;1
"@bollemdb Esse mau aprendiz de ministro parece que está na bolsa de valores.

Suas enlouquecidas especulações.";1
"@thsouzareis Thales! As definições de rentista precisam ser atualizadas 👀
Comece a investir com a Rico e tenha rentabilidade de verdade! Estamos aqui para te ajudar como precisar 🧡";2
@AtallahJosef falaram sobre isso la na live do @marcioportes  ontem, q apos o vencimento das opçoes de ibov hj....azedava;0
@UOL Corrupção é agora com a aprovação da  PL 3877/2020 cria a figura do “depósitos voluntários remunerado” pelo Banco Central aos bancos, “legalizando” a remuneração da sobra de caixa dos bancos, que tem sido feita mediante o abuso na utilização das chamadas“operações compromissadas”;0
@cafecomferri Vinha.... foi o que eu falei abaixo. O BC não quer deixar o dólar cair, há um interesse em mantê-lo neste patamar porque uma queda dele significa que o Tesouro terá de se endividar para cobrir a perda contábil do Banco Central. Só que tem uma coisinha: dólar maior: fumo pra nós.;0
@_RenanRios_ @paulofzbct ah mano, se ta dando rentabilidade já ta otimo, só administrar isso! Só não pode devolver tudo o que ja ganhou. Eu acho que tem bastante espaço pra crescer sim;2
"DOMINANCIA FISCAL

1)Selic a 2% e desconfiança  geral geram o medo
2)o Banco Central entra em parafuso: se subir a Selic para conter a inflação,afeta o Tesouro ;se não fizer nada,volta a inflação 
3)o pior dos mundos:volta da inflação força mais ajuste fiscal e diminui o consumo";0
"Como montar um carteira vencedora ? 

Imagine você com 100mil para gastar a vontade. Em quais locais você iria ? 

Pensou ? Então agora pesquise essas empresas na bolsa de valores. 

Você vai comprar empresas que você consumiria, lógica básica para investir.
#investimentos";2
"🌇FII | https://t.co/KIzvGL0Coj
Buildings e Funds Explorer lançam plataforma para investidores de FIIs pessoa física
| | fundosimobiliarios fiis

  O número de pessoas físicas na bolsa de valores passou pela primeira vez a marca de 3 milhões. Segundo dados da B3 divulgados n…";2
"#JPC, @mineiro_edson, @sf2invest, @VPCRelator, @JasonVieira, @JamesGBrasil, @datonetto e @thomazsarquis, indiquem um esporte radical ao Roberto Campos Neto. Cada um dá sua sugestão. O homem tá a fim de adrenalina.

A fonte de emoção dele só não pode ser o Banco Central.";1
As decisões do Comitê de Políticas Monetárias, o Copom, passam pelo Boletim Focus, uma publicação do mercado financeiro na qual ele define a taxa de juros. Autonomia do Banco Central é colocar a raposa pra cuidar do galinheiro.;0
É verdade que o @santander_br e o @BancodoBrasil se lixaram pro Pix. O Banco Central, não vai fazer NADA? @BancoCentralBR;0
Banco Central confirma que WhatsApp entrará em pagamentos no Brasil - RENOVA Mídia https://t.co/SAot4uY90L via @renovamidia;1
"Listinha de coisas que a ""maior fac de arma"" vai ficar sem por causa da treta com os ""galinha"":
-munição 
-colete 
-capuz 
-lockpick 
-kit Banco paleto e Central 
-algema 
-erva
-c4
-farinha 
-Kaycard 
e  sem aliados tbm,porque mc já vende pra todas as fac's";1
"Será!? 👀

#ibov https://t.co/ukHag1GmiP";1
"Melhor planilha de controle de rentabilidade mensal! 👇

https://t.co/GrAz73UpzY";2
Banco Central aposta no PIX para estimular recuperação da economia - https://t.co/BGo5sVsJb5 https://t.co/KA5mJEknT4;1
Bolsa de Valores AO VIVO - 19 de Novembro de 2020 https://t.co/FWSM7aAeQ2 via @YouTube;1
"@ricocomvc Sr Incrível como investimentos internacionais, bem fortes;
Mulher Elástico como multimercados, alcançando tudo;
Flecha como fundos de ação, variando rápido;
Violeta como reserva de emergência, a rentabilidade sumiu, mas sei que posso confiar;
Zezé como ações, super volátil hahaha https://t.co/2ccgzV2I49";2
O tempo em Campinas tá mais fechado do que o cofre do Banco Central.;0
@nclhdd @lunapqsim1 Renda variável são os Reais que você tenta acumular e perderam 90% de poder de compra desde sua criação. Boa sorte!;0
@suziproibida @nubank é o novo sistema de pagamentos/transferências do banco central. Ele funciona 24/7 e é de graça pra pessoa física! Veio pra substituir Ted e Doc;1
Venda de reservas para reduzir dívida está no radar, mas decisão depende do Banco Central, diz secretário https://t.co/xSxY0pCaoW;1
Investimentos de renda variável estão em alta no Brasil:   Ao longo dos últimos meses, os brasileiros estão aprendendo a viver com um cenário econômico praticamente inédito. Com as taxas de juros nas mínimas históricas, os tradicionais… https://t.co/cMYSm4KKbn No site da Folha;2
"""Estado não está empenhado em criar mais empresas, é pôr as empresas que existem a funcionar mas todos nós, Governo, Banco Central e bancos comerciais tem que apoiar o sector o privado porque é esse que tem de fazer a diferença” ministro Maleiane https://t.co/7cz6psn9Yr https://t.co/HfcShVavft";1
"Sonho
Gov. do Brasil:
Imperadores: Bolsonaro e Temer
Futuro casamento real: MiTemer e Laurinha
Forma de governo: Monarquia
Conselheiro do imperador: Tokiyo
Chanceler: Carlos Bolsonaro
Comandante do Banco central: Flávio Bolsonaro
Gabinete de segurança institucional: Adolf Hitler";2
@EurobeatDrift Porque se não eu consigo 500 conto no btc aqui e me converto, saco até acabar as nota, quebro o banco central, e todo mundo ganha empréstimo sem juros;2
"IBOVESPA CONTRARIA EXTERIOR NEGATIVO E SOBE 0,3%; DÓLAR RECUA, A R$ 5,31.
https://t.co/1oWWTg93Af
#spacemoney #spacenow #IBOV #dolfut";2
me chama de bolsa de valores e investe em mim bebê rs;2
"Você pode comprar ações na Bolsa de Valores, através de uma Corretora. 

Os lucros que as empresas distribuem a seus acionistas são conhecidos como DIVIDENDOS, mas existem outras formas de remuneração.

A distribuição de dividendos varia de empresa pra empresa.";1
"Acionistas da Linx aprovam venda para Stone em Assembleia Geral Extraordinária, diz fonte
https://t.co/lVtV8xt7Uh";1
@Mordecaio_ fiz uma transferencia aqui agora e caiu instantâneo eu estou chorando banco central entre em minha casa e coma o pix de toda minha família;2
desde o dia que meu pai me ensinou o básico da bolsa de valores, minha coisa preferida de fazer é ver como tão indo as ações no fim do dia;2
"https://t.co/aoF2cqEX2s
Fintechs Brasil na coletiva do Banco Central sobre o PIX";1
